[ 2025-03-30 17:56:50,162 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-30 17:56:54,971 ] 70 root - INFO - Performed train test split on the dataframe
[ 2025-03-30 17:56:54,971 ] 72 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-30 17:56:54,977 ] 80 root - INFO - Exporting train and test file path.
[ 2025-03-30 17:56:55,072 ] 89 root - INFO - Exported train and test file path.
[ 2025-03-30 17:56:55,072 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-30 17:56:55,078 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-30 17:56:55,113 ] 32 root - INFO - Required number of columns:2
[ 2025-03-30 17:56:55,114 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 17:56:55,115 ] 32 root - INFO - Required number of columns:2
[ 2025-03-30 17:56:55,115 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 17:56:55,301 ] 28 root - INFO - data Validation Completed
[ 2025-03-30 17:56:55,301 ] 31 root - INFO - data Transformation started
[ 2025-03-30 17:56:55,301 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-30 17:56:55,301 ] 65 root - INFO - Starting data transformation
[ 2025-03-30 17:56:55,331 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-30 17:56:55,332 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-30 17:56:55,378 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-30 17:56:55,402 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-30 17:56:55,403 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-30 17:56:55,423 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-30 17:56:55,423 ] 35 root - INFO - data Transformation completed
[ 2025-03-30 17:56:55,423 ] 37 root - INFO - Model Training sstared
[ 2025-03-30 17:59:34,418 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-30 17:59:34,430 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-30 17:59:34,430 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-30 17:59:34,703 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-30 17:59:34,704 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/03_30_2025_17_56_31/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915573186857899, precision_score=0.9888415500101441, recall_score=0.9942880456956344), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9723320158102767, precision_score=0.9647058823529412, recall_score=0.9800796812749004))
[ 2025-03-30 17:59:34,704 ] 42 root - INFO - Model Training artifact created
